trial,ecc_deg_intended,ecc_deg_actual,angle_start_deg,angle_end_deg,orientation_deg,stim_type,x_start_deg,y_start_deg,x_end_deg,y_end_deg,rot_dir,moved_angle_deg,gabor_px,stim_speed_px_s,response,correct,rt,CalibrationDrift(deg)
1,20.0,20.0,305.82,295.82,115,0,11.71,-16.22,8.71,-18.0,cw,10.0,35.0,200.0,0,1,1.9016,2.843
2,6.0,6.0,32.65,42.65,0,1,5.05,3.24,4.41,4.06,ccw,10.0,35.0,200.0,1,1,0.8122,0.778
3,16.0,16.0,195.61,185.61,65,0,-15.41,-4.3,-15.92,-1.56,cw,10.0,35.0,200.0,0,1,0.7535,0.534
4,3.0,3.0,30.24,40.24,65,0,2.59,1.51,2.29,1.94,ccw,10.0,35.0,200.0,0,1,0.7449,0.42
5,12.0,12.0,236.12,226.12,140,0,-6.69,-9.96,-8.32,-8.65,cw,10.0,35.0,200.0,0,1,0.815,0.506
6,3.0,3.0,138.81,128.81,0,1,-2.26,1.98,-1.88,2.34,cw,10.0,35.0,200.0,1,1,0.8625,0.496
7,3.0,3.0,242.8,232.8,0,1,-1.37,-2.67,-1.81,-2.39,cw,10.0,35.0,200.0,1,1,0.9025,0.481
8,16.0,16.0,52.74,42.74,40,0,9.69,12.73,11.75,10.86,cw,10.0,35.0,200.0,0,1,0.9084,0.744
9,16.0,16.0,118.39,128.39,40,0,-7.61,14.08,-9.94,12.54,ccw,10.0,35.0,200.0,0,1,0.8875,0.495
10,6.0,6.0,221.19,231.19,0,1,-4.51,-3.95,-3.76,-4.68,ccw,10.0,35.0,200.0,1,1,0.8217,0.594
11,6.0,6.0,181.23,191.23,0,1,-6.0,-0.13,-5.89,-1.17,ccw,10.0,35.0,200.0,1,1,0.8999,0.911
12,6.0,6.0,131.33,121.33,140,0,-3.96,4.51,-3.12,5.13,cw,10.0,35.0,200.0,0,1,1.0773,0.278
13,12.0,12.0,134.76,124.76,0,1,-8.45,8.52,-6.84,9.86,cw,10.0,35.0,200.0,1,1,1.0131,0.462
14,16.0,16.0,152.97,162.97,0,1,-14.25,7.27,-15.3,4.69,ccw,10.0,35.0,200.0,1,1,1.1036,0.581
15,12.0,12.0,190.67,200.67,0,1,-11.79,-2.22,-11.23,-4.24,ccw,10.0,35.0,200.0,1,1,0.8621,0.412
16,3.0,3.0,135.91,125.91,0,1,-2.15,2.09,-1.76,2.43,cw,10.0,35.0,200.0,1,1,0.7404,0.538
17,3.0,3.0,216.58,226.58,0,1,-2.41,-1.79,-2.06,-2.18,ccw,10.0,35.0,200.0,1,1,0.7914,0.494
18,16.0,16.0,92.78,82.78,0,1,-0.77,15.98,2.01,15.87,cw,10.0,35.0,200.0,1,1,0.8474,0.529
19,12.0,12.0,355.16,345.16,0,1,11.96,-1.01,11.6,-3.07,cw,10.0,35.0,200.0,1,1,0.8099,0.506
20,6.0,6.0,330.17,340.17,0,1,5.21,-2.98,5.64,-2.04,ccw,10.0,35.0,200.0,1,1,0.7538,0.461
21,3.0,3.0,155.81,165.81,65,0,-2.74,1.23,-2.91,0.74,ccw,10.0,35.0,200.0,0,1,0.7375,0.529
22,3.0,3.0,296.16,306.16,115,0,1.32,-2.69,1.77,-2.42,ccw,10.0,35.0,200.0,0,1,0.8883,0.566
23,12.0,12.0,189.23,199.23,0,1,-11.84,-1.92,-11.33,-3.95,ccw,10.0,35.0,200.0,1,1,0.9007,0.638
24,16.0,16.0,285.1,295.1,0,1,4.17,-15.45,6.79,-14.49,ccw,10.0,35.0,200.0,1,1,0.8894,0.753
25,3.0,3.0,334.18,344.18,0,1,2.7,-1.31,2.89,-0.82,ccw,10.0,35.0,200.0,1,1,0.8239,0.836
26,6.0,6.0,280.89,270.89,115,0,1.13,-5.89,0.09,-6.0,cw,10.0,35.0,200.0,0,1,0.94,0.473
27,12.0,12.0,294.35,304.35,115,0,4.95,-10.93,6.77,-9.91,ccw,10.0,35.0,200.0,0,1,0.9185,0.541
28,16.0,16.0,322.92,312.92,0,1,12.77,-9.65,10.9,-11.72,cw,10.0,35.0,200.0,0,0,1.0712,0.692
29,12.0,12.0,104.85,114.85,0,1,-3.08,11.6,-5.04,10.89,ccw,10.0,35.0,200.0,1,1,0.8884,0.636
30,16.0,16.0,17.66,27.66,0,1,15.25,4.85,14.17,7.43,ccw,10.0,35.0,200.0,1,1,1.0906,0.282
31,12.0,12.0,344.93,334.93,65,0,11.59,-3.12,10.87,-5.08,cw,10.0,35.0,200.0,0,1,0.9107,0.217
32,12.0,12.0,168.41,178.41,65,0,-11.76,2.41,-12.0,0.33,ccw,10.0,35.0,200.0,0,1,0.9344,0.389
33,16.0,16.0,337.93,327.93,0,1,14.83,-6.01,13.56,-8.5,cw,10.0,35.0,200.0,1,1,0.8473,0.203
34,6.0,6.0,338.22,328.22,0,1,5.57,-2.23,5.1,-3.16,cw,10.0,35.0,200.0,1,1,0.8465,0.357
35,20.0,20.0,57.93,67.93,140,0,10.62,16.95,7.52,18.53,ccw,10.0,13.796,200.0,0,1,0.8735,0.574
36,20.0,20.0,19.74,29.74,115,0,18.83,6.75,17.37,9.92,ccw,10.0,35.0,200.0,0,1,0.9211,0.213
37,12.0,12.0,119.02,129.02,0,1,-5.82,10.49,-7.56,9.32,ccw,10.0,35.0,200.0,1,1,0.8148,0.282
38,20.0,20.0,301.12,291.12,140,0,10.34,-17.12,7.21,-18.66,cw,10.0,10.0,200.0,0,1,1.202,0.214
39,12.0,12.0,226.92,216.92,65,0,-8.2,-8.76,-9.59,-7.21,cw,10.0,35.0,200.0,0,1,0.8135,0.271
40,16.0,16.0,37.04,47.04,115,0,12.77,9.64,10.9,11.71,ccw,10.0,35.0,200.0,0,1,0.8632,0.296
41,12.0,12.0,6.54,16.54,0,1,11.92,1.37,11.5,3.42,ccw,10.0,35.0,200.0,1,1,0.813,0.443
42,3.0,3.0,201.02,191.02,40,0,-2.8,-1.08,-2.94,-0.57,cw,10.0,35.0,200.0,0,1,0.792,0.509
43,12.0,12.0,197.6,207.6,115,0,-11.44,-3.63,-10.63,-5.56,ccw,10.0,35.0,200.0,0,1,0.7549,0.54
44,12.0,12.0,277.01,267.01,40,0,1.47,-11.91,-0.63,-11.98,cw,10.0,35.0,200.0,0,1,0.8199,0.565
45,3.0,3.0,73.68,83.68,65,0,0.84,2.88,0.33,2.98,ccw,10.0,35.0,200.0,0,1,0.7327,0.229
46,20.0,20.0,258.14,248.14,0,1,-4.11,-19.57,-7.45,-18.56,cw,10.0,10.0,200.0,0,0,0.9312,0.274
47,3.0,3.0,312.57,322.57,0,1,2.03,-2.21,2.38,-1.82,ccw,10.0,35.0,200.0,1,1,0.7929,0.248
48,3.0,3.0,302.59,312.59,115,0,1.62,-2.53,2.03,-2.21,ccw,10.0,35.0,200.0,0,1,0.7343,0.187
49,6.0,6.0,53.05,43.05,115,0,3.61,4.79,4.38,4.1,cw,10.0,35.0,200.0,0,1,0.8083,0.314
50,12.0,12.0,268.23,278.23,115,0,-0.37,-11.99,1.72,-11.88,ccw,10.0,35.0,200.0,0,1,1.0075,0.313
51,12.0,12.0,75.32,85.32,115,0,3.04,11.61,0.98,11.96,ccw,10.0,35.0,200.0,0,1,0.903,0.395
52,20.0,20.0,239.87,229.87,0,1,-10.04,-17.3,-12.89,-15.29,cw,10.0,10.0,200.0,0,0,0.8652,0.545
53,12.0,12.0,340.03,350.03,0,1,11.28,-4.1,11.82,-2.08,ccw,10.0,35.0,200.0,1,1,0.9014,0.368
54,12.0,12.0,258.95,248.95,0,1,-2.3,-11.78,-4.31,-11.2,cw,10.0,35.0,200.0,1,1,0.974,0.588
55,6.0,6.0,229.78,219.78,0,1,-3.87,-4.58,-4.61,-3.84,cw,10.0,35.0,200.0,1,1,0.9316,0.71
56,3.0,3.0,100.0,110.0,115,0,-0.52,2.95,-1.03,2.82,ccw,10.0,35.0,200.0,0,1,0.8503,0.27
57,12.0,12.0,313.89,303.89,40,0,8.32,-8.65,6.69,-9.96,cw,10.0,35.0,200.0,0,1,0.8676,0.342
58,16.0,16.0,352.79,342.79,140,0,15.87,-2.01,15.28,-4.73,cw,10.0,35.0,200.0,0,1,0.9221,0.517
59,12.0,12.0,291.64,281.64,115,0,4.43,-11.15,2.42,-11.75,cw,10.0,35.0,200.0,0,1,0.9856,0.528
60,20.0,20.0,128.05,118.05,0,1,-12.33,15.75,-9.41,17.65,cw,10.0,35.0,200.0,0,0,1.4875,0.407
