trial,ecc_deg_intended,ecc_deg_actual,angle_start_deg,angle_end_deg,orientation_deg,stim_type,x_start_deg,y_start_deg,x_end_deg,y_end_deg,rot_dir,moved_angle_deg,gabor_px,stim_speed_px_s,response,correct,rt,CalibrationDrift(deg)
1,6.0,6.0,295.75,285.75,0,1,2.61,-5.4,1.63,-5.77,cw,10.0,35.0,300.0,1,1,1.4817,5.762
2,16.0,16.0,8.39,18.39,65,0,15.83,2.33,15.18,5.05,ccw,10.0,35.0,300.0,0,1,1.8101,0.951
3,20.0,20.0,266.4,256.4,0,1,-1.25,-19.96,-4.7,-19.44,cw,10.0,10.0,300.0,0,0,2.4698,1.007
4,16.0,16.0,136.76,126.76,0,1,-11.66,10.96,-9.58,12.82,cw,10.0,35.0,300.0,1,1,1.4282,0.453
5,20.0,20.0,14.19,24.19,0,1,19.39,4.9,18.24,8.19,ccw,10.0,35.0,300.0,1,1,1.3888,1.227
6,12.0,12.0,264.84,274.84,0,1,-1.08,-11.95,1.01,-11.96,ccw,10.0,35.0,300.0,1,1,1.3864,0.94
7,20.0,20.0,332.13,342.13,65,0,17.68,-9.35,19.04,-6.14,ccw,10.0,35.0,300.0,0,1,1.3257,1.383
8,12.0,12.0,75.17,85.17,40,0,3.07,11.6,1.01,11.96,ccw,10.0,35.0,300.0,0,1,1.2834,1.037
9,12.0,12.0,9.56,359.56,40,0,11.83,1.99,12.0,-0.09,cw,10.0,35.0,300.0,0,1,1.4071,0.815
10,12.0,12.0,16.53,26.53,0,1,11.5,3.41,10.74,5.36,ccw,10.0,35.0,300.0,1,1,1.3234,0.612
11,20.0,20.0,217.91,207.91,140,0,-15.78,-12.29,-17.67,-9.36,cw,10.0,35.0,300.0,0,1,1.3768,1.253
12,20.0,20.0,117.16,107.16,0,1,-9.13,17.79,-5.9,19.11,cw,10.0,10.0,300.0,0,0,1.98,0.613
13,3.0,3.0,305.14,315.14,65,0,1.73,-2.45,2.13,-2.12,ccw,10.0,35.0,300.0,0,1,1.377,0.531
14,6.0,6.0,206.34,196.34,0,1,-5.38,-2.66,-5.76,-1.69,cw,10.0,35.0,300.0,1,1,1.3867,0.636
15,20.0,20.0,97.08,87.08,40,0,-2.47,19.85,1.02,19.97,cw,10.0,10.0,300.0,0,1,2.3565,0.407
16,6.0,6.0,102.09,112.09,65,0,-1.26,5.87,-2.26,5.56,ccw,10.0,35.0,300.0,0,1,1.367,1.146
17,12.0,12.0,179.68,169.68,0,1,-12.0,0.07,-11.81,2.15,cw,10.0,35.0,300.0,1,1,1.3138,0.284
